Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações
"Araguaçu";"TO";"8418";"Sim";"23,3%";"--";"28,64%";"Não há"
"Araguaiana";"MT";"3064";"Em elaboração";"17,69%";"--";"31,53%";"1,2%"
"Araguaína";"TO";"186245";"Sim";"2,9%";"68,04%";"5,02%";"0,1%"
"Araguainha";"MT";"909";"Em elaboração";"13,86%";"--";"13,86%";"Não há"
"Araguanã";"MA";"15675";"Em elaboração";"88,64%";"--";"61,72%";"8%"
"Araguanã";"TO";"5856";"Em elaboração";"7,29%";"--";"32,68%";"14,1%"
"Araguapaz";"GO";"7795";"Não";"29,31%";"48,72%";"11,61%";"Não há"
"Araguari";"MG";"118361";"Sim";"Atendimento Pleno";"Atendimento Pleno";"6,57%";"0,1%"
"Araguatins";"TO";"36573";"Em elaboração";"42,58%";"--";"28,91%";"--"
"Araioses";"MA";"47095";"Em elaboração";"85,26%";"--";"47,72%";"Não há"
"Aral Moreira";"MS";"12511";"Em elaboração";"48,26%";"90,59%";"47,74%";"Não há"
"Aramari";"BA";"11519";"Não";"50,66%";"--";"49,76%";"--"
"Arambaré";"RS";"3544";"Em elaboração";"21,13%";"--";"6,6%";"1,3%"
"Arame";"MA";"32825";"Em elaboração";"77,63%";"--";"60,41%";"3,3%"
"Aramina";"SP";"5689";"Em elaboração";"6,52%";"6,52%";"6,52%";"Não há"
"Arandu";"SP";"6373";"Sim";"25,06%";"25,22%";"0,05%";"0,1%"
"Arantina";"MG";"2779";"Sim";"15,11%";"6,73%";"6,73%";"5,2%"
"Arapeí";"SP";"2452";"Não";"2,57%";"22,02%";"Atendimento Pleno";"1,4%"
"Arapiraca";"AL";"234309";"Em elaboração";"4,74%";"98,15%";"Atendimento Pleno";"Não há"
"Arapoema";"TO";"6590";"Sim";"13,29%";"--";"22,61%";"Não há"
"Araponga";"MG";"8467";"Sim";"62,36%";"62,21%";"31,5%";"Não há"
"Arapongas";"PR";"126545";"Não";"0,01%";"18,49%";"Atendimento Pleno";"Não há"
"Araporã";"MG";"6992";"Sim";"Atendimento Pleno";"Atendimento Pleno";"4%";"Não há"
"Arapoti";"PR";"28480";"Em elaboração";"1,86%";"25%";"12,22%";"2,3%"
"Arapuá";"MG";"2836";"Não";"24,89%";"24,89%";"24,68%";"Não há"
"Arapuã";"PR";"2951";"Sim";"27,14%";"--";"62,56%";"Não há"
"Araputanga";"MT";"17078";"Sim";"--";"--";"--";"--"
"Araquari";"SC";"40890";"Em elaboração";"9,95%";"96,02%";"Atendimento Pleno";"Não há"
"Arara";"PB";"13613";"Não";"Sem Atendimento";"66,57%";"29,47%";"--"
"Araranguá";"SC";"69493";"Sim";"27,28%";"85,65%";"Atendimento Pleno";"1,5%"
"Araraquara";"SP";"240542";"Sim";"3,02%";"2,97%";"2,1%";"Não há"
"Araras";"SP";"136739";"Sim";"5,38%";"1,4%";"0,69%";"0,3%"
"Ararendá";"CE";"10983";"Sim";"21,02%";"--";"51,27%";"Não há"
"Arari";"MA";"30014";"Em elaboração";"--";"--";"50,02%";"2,4%"
"Araricá";"RS";"5840";"Não";"--";"--";"Atendimento Pleno";"2,4%"
"Araripe";"CE";"21707";"Em elaboração";"69,05%";"--";"26,29%";"Não há"
"Araripina";"PE";"85301";"Não";"27,54%";"56,28%";"57,52%";"0,6%"
"Araruama";"RJ";"136109";"Sim";"4,19%";"22,69%";"Atendimento Pleno";"Não há"
"Araruna";"PB";"20610";"Não";"66,25%";"69,49%";"41,78%";"Não há"
"Araruna";"PR";"14029";"Sim";"0,01%";"35,92%";"0,81%";"Não há"
"Arataca";"BA";"10904";"Não";"46,23%";"--";"41,76%";"20,3%"
"Aratiba";"RS";"6145";"Sim";"49,19%";"--";"49,49%";"--"
"Aratuba";"CE";"11759";"Sim";"77,99%";"92,64%";"68,45%";"Não há"
"Aratuípe";"BA";"8848";"Em elaboração";"38,2%";"--";"34,45%";"12%"
"Arauá";"SE";"9840";"Em elaboração";"15,37%";"--";"34,96%";"5,6%"
"Araucária";"PR";"148522";"Sim";"0,01%";"10,57%";"2,37%";"1%"
"Araújos";"MG";"9523";"Sim";"13,59%";"17,05%";"Atendimento Pleno";"--"
"Araxá";"MG";"108403";"Sim";"6,72%";"6,64%";"Atendimento Pleno";"0,2%"
"Arceburgo";"MG";"10990";"Não";"17,22%";"20,63%";"Atendimento Pleno";"Não há"
"Arco-Íris";"SP";"1755";"Em elaboração";"29,12%";"29,91%";"20,23%";"Não há"
"Arcos";"MG";"40658";"Sim";"9,13%";"Atendimento Pleno";"7,2%";"Não há"
"Arcoverde";"PE";"75295";"Não";"Atendimento Pleno";"94,99%";"1,06%";"0,8%"
"Areado";"MG";"15288";"Não";"17,89%";"--";"--";"--"
"Areal";"RJ";"12763";"Em elaboração";"--";"--";"--";"21,7%"
"Arealva";"SP";"8665";"Sim";"27,22%";"34,32%";"Atendimento Pleno";"Não há"
"Areia";"PB";"22493";"Não";"36,42%";"--";"28,87%";"Não há"
"Areia Branca";"RN";"28156";"Em elaboração";"15,29%";"--";"Atendimento Pleno";"Não há"
"Areia Branca";"SE";"18825";"Sim";"20,33%";"Atendimento Pleno";"49,96%";"3,9%"
"Areia de Baraúnas";"PB";"2105";"Não";"56,72%";"--";"--";"Não há"
"Areial";"PB";"7054";"Não";"Sem Atendimento";"29,12%";"--";"--"
"Areias";"SP";"3906";"Sim";"33,44%";"33,44%";"0,15%";"Não há"
"Areiópolis";"SP";"11186";"Em elaboração";"Atendimento Pleno";"0,14%";"11,14%";"Não há"
"Arenápolis";"MT";"9399";"Sim";"3,18%";"--";"4,25%";"Não há"
"Arenópolis";"GO";"2462";"Em elaboração";"29,69%";"--";"41,43%";"Não há"
"Arês";"RN";"14526";"Em elaboração";"33,71%";"81,23%";"Atendimento Pleno";"0,9%"
"Argirita";"MG";"2681";"Não";"12,05%";"12,05%";"21,45%";"0,5%"
"Aricanduva";"MG";"5305";"Não";"53,21%";"62,3%";"52,87%";"2,7%"
"Arinos";"MG";"17850";"Em elaboração";"42,59%";"Atendimento Pleno";"24,25%";"0,3%"
"Aripuanã";"MT";"23067";"Em elaboração";"35,9%";"98,2%";"37,39%";"1,2%"
"Ariquemes";"RO";"111148";"Sim";"15,3%";"97,83%";"14,39%";"0,6%"
"Ariranha";"SP";"9851";"Em elaboração";"--";"--";"5,3%";"Não há"
"Ariranha do Ivaí";"PR";"2026";"Em elaboração";"30,45%";"--";"38,45%";"--"
"Armação dos Búzios";"RJ";"35060";"Sim";"2,31%";"19,88%";"0,17%";"--"
"Armazém";"SC";"8843";"Não";"45,11%";"--";"12,33%";"Não há"
"Arneiroz";"CE";"7848";"Não";"68,25%";"--";"--";"--"
"Aroazes";"PI";"5819";"Não";"22,22%";"--";"38,17%";"2,3%"
"Aroeiras";"PB";"19081";"Não";"68,37%";"--";"26,63%";"Não há"
"Aroeiras do Itaim";"PI";"2551";"Em elaboração";"--";"--";"19,99%";"--"
"Arraial";"PI";"4713";"Não";"53,79%";"--";"48,1%";"Não há"
"Arraial do Cabo";"RJ";"30827";"Em elaboração";"2,31%";"19,88%";"10,1%";"Não há"
"Arraias";"TO";"10502";"Em elaboração";"21,79%";"--";"4,78%";"1,5%"
"Arroio do Meio";"RS";"21121";"Sim";"21,94%";"--";"Atendimento Pleno";"12,4%"
"Arroio do Padre";"RS";"2966";"Sim";"68,81%";"--";"48,92%";"Não há"
"Arroio do Sal";"RS";"10483";"Em elaboração";"15,59%";"--";"4,61%";"1,2%"
"Arroio do Tigre";"RS";"13452";"Sim";"52,81%";"--";"44,25%";"0,7%"
"Arroio dos Ratos";"RS";"14201";"Sim";"4,77%";"--";"4,94%";"0,4%"
"Arroio Grande";"RS";"18185";"Sim";"12,91%";"96,23%";"2,6%";"1,8%"
"Arroio Trinta";"SC";"3547";"Em elaboração";"8,37%";"35,72%";"31,55%";"--"
"Artur Nogueira";"SP";"56247";"Não";"9,5%";"11,31%";"3,55%";"0,3%"
"Aruanã";"GO";"10340";"Não";"20,02%";"57,2%";"12,96%";"Não há"
"Arujá";"SP";"92453";"Em elaboração";"Atendimento Pleno";"25,51%";"3,99%";"Não há"
"Arvoredo";"SC";"2228";"Sim";"--";"--";"77,83%";"2%"
"Arvorezinha";"RS";"10422";"Em elaboração";"38,65%";"--";"--";"Não há"
"Ascurra";"SC";"8021";"Sim";"Atendimento Pleno";"--";"0,26%";"3,2%"
"Aspásia";"SP";"1815";"Em elaboração";"1,16%";"1,49%";"17,36%";"Não há"
"Assaí";"PR";"14792";"Sim";"0,01%";"21,95%";"16,51%";"0,4%"
"Assaré";"CE";"23537";"Em elaboração";"62,72%";"77,48%";"15,03%";"--"
"Assis";"SP";"105768";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"2%";"0,2%"
"Assis Brasil";"AC";"7649";"Não";"30,87%";"--";"47,71%";"2,5%"
"Assis Chateaubriand";"PR";"33306";"Sim";"0,01%";"51,94%";"12,15%";"Não há"
"Assunção";"PB";"4067";"Não";"29,14%";"19,2%";"19,2%";"--"
"Assunção do Piauí";"PI";"7879";"Não";"49,23%";"--";"36,54%";"Não há"
"Astolfo Dutra";"MG";"14358";"Sim";"16,51%";"9,46%";"8,94%";"14,8%"
"Astorga";"PR";"26304";"Não";"0,01%";"16,17%";"8,66%";"Não há"
"Atalaia";"AL";"47540";"Não";"63,01%";"--";"49,33%";"5%"
"Atalaia";"PR";"3871";"Sim";"0,03%";"--";"31,03%";"--"
"Atalaia do Norte";"AM";"20868";"Não";"58,83%";"--";"27,42%";"32,1%"
"Atalanta";"SC";"3179";"Sim";"51,53%";"--";"41,46%";"18,5%"
"Ataléia";"MG";"12496";"Não";"49,47%";"68,93%";"50,2%";"1,4%"
"Atibaia";"SP";"145378";"Sim";"8,98%";"25,9%";"0,95%";"3,3%"
"Atilio Vivacqua";"ES";"12270";"Sim";"39,13%";"25,67%";"3,83%";"43,9%"
"Augustinópolis";"TO";"18870";"Em elaboração";"13,16%";"87,68%";"25,65%";"Não há"
"Augusto Corrêa";"PA";"46937";"Não";"95,1%";"--";"30%";"2,3%"
"Augusto de Lima";"MG";"4833";"Sim";"42,67%";"93,17%";"26,57%";"1,8%"
"Augusto Pestana";"RS";"6545";"Sim";"Atendimento Pleno";"--";"34,3%";"Não há"
"Augusto Severo";"RN";"9686";"Em elaboração";"33,12%";"--";"42,18%";"2,1%"
"Áurea";"RS";"3517";"Sim";"56,92%";"--";"44,27%";"2,7%"
"Aurelino Leal";"BA";"11079";"Não";"16,15%";"--";"--";"1,1%"
"Auriflama";"SP";"15316";"Em elaboração";"2,8%";"4,36%";"--";"--"
"Aurilândia";"GO";"3000";"Sim";"12,53%";"--";"--";"--"
"Aurora";"CE";"24567";"Não";"62,93%";"92,97%";"48,22%";"2%"
"Aurora";"SC";"5687";"Não";"67,84%";"--";"38,46%";"11%"
"Aurora do Pará";"PA";"32200";"Sim";"78,22%";"--";"69,23%";"14,1%"
"Aurora do Tocantins";"TO";"3809";"Não";"9,22%";"--";"27,99%";"Não há"
"Autazes";"AM";"41005";"Não";"73,52%";"--";"56,77%";"25%"
"Avaí";"SP";"5467";"Sim";"36,93%";"38,65%";"32,85%";"0,2%"
"Avanhandava";"SP";"14063";"Sim";"16,67%";"16,67%";"15,44%";"Não há"
"Avaré";"SP";"91792";"Em elaboração";"Atendimento Pleno";"0,87%";"3,04%";"Não há"
"Aveiro";"PA";"16421";"Não";"64,68%";"--";"79,94%";"48,4%"
"Avelino Lopes";"PI";"11361";"Não";"25,25%";"--";"39,34%";"1,5%"
"Avelinópolis";"GO";"2401";"Sim";"21,2%";"--";"23,41%";"Não há"
"Axixá";"MA";"12234";"Em elaboração";"84,1%";"--";"30,52%";"Não há"
"Axixá do Tocantins";"TO";"9817";"Sim";"--";"--";"--";"--"
"Babaçulândia";"TO";"10668";"Em elaboração";"42,76%";"--";"52,72%";"Não há"
"Bacabal";"MA";"105094";"Não";"20,55%";"95,4%";"22,15%";"2,4%"
"Bacabeira";"MA";"17446";"Não";"80,3%";"--";"--";"--"
"Bacuri";"MA";"18726";"Não";"81,69%";"--";"35,92%";"14,7%"
"Bacurituba";"MA";"5696";"Em elaboração";"Atendimento Pleno";"--";"--";"26,4%"
"Bady Bassitt";"SP";"18013";"Sim";"6,46%";"6,46%";"Atendimento Pleno";"Não há"
"Baependi";"MG";"19249";"Em elaboração";"28,96%";"20,6%";"Atendimento Pleno";"1%"
"Bagé";"RS";"121518";"Em elaboração";"16,29%";"33,03%";"Atendimento Pleno";"0,1%"
"Bagre";"PA";"31967";"Não";"55,33%";"--";"--";"--"
"Baía da Traição";"PB";"9197";"Não";"34,76%";"--";"--";"--"
"Baía Formosa";"RN";"9373";"Sim";"8,46%";"--";"0,14%";"10,7%"
"Baianópolis";"BA";"13979";"Em elaboração";"73,14%";"--";"--";"--"
"Baião";"PA";"49454";"Sim";"34,85%";"--";"11,03%";"7,6%"
"Baixa Grande";"BA";"20431";"Em elaboração";"40,5%";"83,77%";"59,61%";"1,3%"
"Baixa Grande do Ribeiro";"PI";"11751";"Em elaboração";"42,98%";"--";"38,74%";"Não há"
"Baixio";"CE";"6318";"Não";"52,15%";"--";"45,17%";"Não há"
"Baixo Guandu";"ES";"31263";"Em elaboração";"1,16%";"2,12%";"Atendimento Pleno";"2,7%"
"Balbinos";"SP";"6127";"Não";"67,83%";"68,01%";"34,72%";"Não há"
"Baldim";"MG";"7780";"Sim";"43,78%";"Atendimento Pleno";"1,03%";"5,2%"
"Baliza";"GO";"5418";"Não";"71,61%";"--";"40,94%";"Não há"
"Balneário Arroio do Silva";"SC";"13782";"Sim";"0,16%";"--";"4,53%";"0,6%"
"Balneário Barra do Sul";"SC";"11271";"Em elaboração";"Atendimento Pleno";"--";"0,63%";"Não há"
"Balneário Camboriú";"SC";"149227";"Sim";"Atendimento Pleno";"5%";"Atendimento Pleno";"0,3%"
"Balneário Gaivota";"SC";"11537";"Não";"30,48%";"--";"22,73%";"25%"
"Balneário Piçarras";"SC";"24385";"Sim";"Atendimento Pleno";"79,77%";"1%";"14,1%"
"Balneário Pinhal";"RS";"14645";"Sim";"44,17%";"--";"0,03%";"--"
"Balneário Rincão";"SC";"13129";"Não";"Atendimento Pleno";"--";"Atendimento Pleno";"1%"
"Balsa Nova";"PR";"13238";"Em elaboração";"0,02%";"76,79%";"Atendimento Pleno";"4%"
"Bálsamo";"SP";"9209";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"Atendimento Pleno";"Não há"
"Balsas";"MA";"96951";"Não";"10,26%";"--";"22,64%";"0,4%"
"Bambuí";"MG";"23964";"Não";"17,08%";"15%";"12,91%";"0,1%"
"Banabuiú";"CE";"18313";"Não";"18,09%";"--";"49,45%";"3,6%"
"Bananal";"SP";"11039";"Não";"19,45%";"24,07%";"20,21%";"1,3%"
"Bananeiras";"PB";"21220";"Não";"78,5%";"--";"--";"--"
"Bandeira";"MG";"4738";"Em elaboração";"42,38%";"55,26%";"52,34%";"6,7%"
"Bandeira do Sul";"MG";"5808";"Não";"Atendimento Pleno";"Atendimento Pleno";"Atendimento Pleno";"8,4%"
"Bandeirante";"SC";"2618";"Sim";"45,87%";"--";"54,16%";"--"
"Bandeirantes";"MS";"7281";"Em elaboração";"Atendimento Pleno";"--";"10,01%";"Não há"
"Bandeirantes";"PR";"31061";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"6,13%";"8,5%"
"Bandeirantes do Tocantins";"TO";"3631";"Sim";"12,2%";"--";"46,02%";"Não há"
"Bannach";"PA";"3239";"Não";"--";"--";"--";"--"
"Banzaê";"BA";"13251";"Não";"65,78%";"93,96%";"Atendimento Pleno";"0,1%"
"Barão";"RS";"6232";"Sim";"53,31%";"48,78%";"19,77%";"Não há"
"Barão de Antonina";"SP";"3525";"Sim";"22,27%";"36,74%";"Atendimento Pleno";"Não há"
"Barão de Cocais";"MG";"33232";"Sim";"23,6%";"Atendimento Pleno";"2,93%";"3,9%"
"Barão de Cotegipe";"RS";"6616";"Sim";"39,25%";"--";"39,25%";"Não há"
"Barão de Grajaú";"MA";"19026";"Em elaboração";"47,34%";"--";"47,44%";"--"
"Barão de Melgaço";"MT";"8165";"Em elaboração";"--";"--";"54,92%";"3,2%"
"Barão de Monte Alto";"MG";"5311";"Em elaboração";"29,41%";"--";"--";"--"
"Barão do Triunfo";"RS";"7550";"Sim";"90,07%";"--";"77,48%";"Não há"
"Baraúna";"PB";"5033";"Não";"--";"--";"24,48%";"Não há"
"Baraúna";"RN";"29112";"Em elaboração";"23,98%";"--";"23,94%";"Não há"
"Barbacena";"MG";"139061";"Sim";"8,14%";"17,03%";"5,08%";"0,3%"
"Barbalha";"CE";"61662";"Sim";"47,41%";"91,24%";"8,08%";"--"
"Barbosa";"SP";"7532";"Sim";"0,69%";"0,69%";"16,16%";"0,5%"
"Barbosa Ferraz";"PR";"11287";"Sim";"0,02%";"58,08%";"12,29%";"1,1%"
"Barcarena";"PA";"129333";"Não";"63,65%";"84,17%";"38,14%";"0,8%"
"Barcelona";"RN";"3989";"Não";"Atendimento Pleno";"--";"--";"--"
"Barcelos";"AM";"27772";"Sim";"Atendimento Pleno";"--";"--";"--"
"Bariri";"SP";"35844";"Sim";"Atendimento Pleno";"Atendimento Pleno";"5,12%";"Não há"
"Barra";"BA";"54225";"Sim";"--";"--";"54,49%";"1,6%"
"Barra Bonita";"SC";"1625";"Sim";"72,31%";"--";"Atendimento Pleno";"25,9%"
"Barra Bonita";"SP";"36125";"Sim";"Atendimento Pleno";"Atendimento Pleno";"0,35%";"--"
"Barra D'Alcântara";"PI";"3953";"Em elaboração";"--";"--";"47,26%";"--"
"Barra da Estiva";"BA";"20198";"Não";"Atendimento Pleno";"49,92%";"--";"--"
"Barra de Guabiraba";"PE";"14632";"Sim";"1,6%";"86,33%";"10,85%";"26,7%"
"Barra de Santa Rosa";"PB";"15607";"Não";"39,65%";"43,8%";"47,93%";"Não há"
"Barra de Santana";"PB";"8338";"Sim";"92,66%";"--";"69,42%";"Não há"
"Barra de Santo Antônio";"AL";"16201";"Não";"10%";"--";"--";"--"
"Barra de São Francisco";"ES";"45301";"Não";"43,53%";"77,85%";"Atendimento Pleno";"0,1%"
"Barra de São Miguel";"AL";"8434";"Não";"15,32%";"84,27%";"15,05%";"Não há"
"Barra de São Miguel";"PB";"6095";"Em elaboração";"45,37%";"--";"57,87%";"Não há"
"Barra do Bugres";"MT";"35642";"Em elaboração";"0,94%";"73,77%";"12,75%";"0,3%"
"Barra do Chapéu";"SP";"5794";"Sim";"56,73%";"72,33%";"--";"Não há"
"Barra do Choça";"BA";"30831";"Em elaboração";"24,85%";"98,9%";"--";"Não há"
"Barra do Corda";"MA";"88895";"Não";"61,4%";"--";"--";"--"
"Barra do Garças";"MT";"61702";"Sim";"Atendimento Pleno";"27,49%";"83,59%";"Não há"
"Barra do Guarita";"RS";"3266";"Sim";"54,68%";"--";"55,6%";"Não há"
"Barra do Jacaré";"PR";"2781";"Sim";"4,31%";"--";"32,11%";"Não há"
"Barra do Mendes";"BA";"13128";"Não";"34,24%";"--";"41,71%";"Não há"
"Barra do Ouro";"TO";"4673";"Não";"11,32%";"--";"46,97%";"Não há"
"Barra do Piraí";"RJ";"101139";"Sim";"25,12%";"47,25%";"1,14%";"4,5%"
"Barra do Quaraí";"RS";"4238";"Sim";"29,21%";"75,84%";"29,21%";"2,8%"
"Barra do Ribeiro";"RS";"13618";"Sim";"26,1%";"--";"4,54%";"10%"
"Barra do Rio Azul";"RS";"1621";"Sim";"56,2%";"--";"51,88%";"20%"
"Barra do Rocha";"BA";"5515";"Não";"39,96%";"--";"27,47%";"Não há"
"Barra do Turvo";"SP";"7606";"Em elaboração";"54,3%";"62,53%";"34,26%";"4,7%"
"Barra dos Coqueiros";"SE";"31439";"Sim";"0,64%";"22,4%";"16,37%";"Não há"
"Barra Funda";"RS";"2563";"Sim";"Atendimento Pleno";"--";"2,46%";"7,1%"
"Barra Longa";"MG";"4905";"Sim";"56,82%";"--";"--";"--"
"Barra Mansa";"RJ";"185237";"Sim";"1%";"10,55%";"0,02%";"4,1%"
"Barra Velha";"SC";"30539";"Sim";"Atendimento Pleno";"--";"Atendimento Pleno";"8,3%"
"Barracão";"PR";"10347";"Não";"20,9%";"--";"24,53%";"Não há"
"Barracão";"RS";"5237";"Sim";"43,31%";"--";"4,53%";"Não há"
"Barras";"PI";"47298";"Não";"51,37%";"--";"57,08%";"1,5%"
"Barreira";"CE";"22715";"Não";"76,61%";"94,99%";"3,15%";"Não há"
"Barreiras";"BA";"158432";"Em elaboração";"4,15%";"28,09%";"Atendimento Pleno";"Não há"
"Barreiras do Piauí";"PI";"3356";"Não";"23,96%";"--";"42,1%";"Não há"
"Barreirinha";"AM";"32919";"Não";"Atendimento Pleno";"--";"55%";"46,1%"
"Barreirinhas";"MA";"63891";"Em elaboração";"71,83%";"92,61%";"44,2%";"0,8%"
"Barreiros";"PE";"42866";"Não";"7,31%";"70,12%";"--";"28,3%"
"Barretos";"SP";"123546";"Não";"Atendimento Pleno";"Atendimento Pleno";"3,05%";"Não há"
"Barrinha";"SP";"33537";"Sim";"1,11%";"1,11%";"0,15%";"0,6%"
"Barro";"CE";"22834";"Sim";"55,06%";"94,97%";"8,9%";"Não há"
"Barro Alto";"BA";"15171";"Não";"48,86%";"--";"50,69%";"Não há"
"Barro Alto";"GO";"11643";"Em elaboração";"29,91%";"--";"28,28%";"0,1%"
"Barro Duro";"PI";"7022";"Sim";"15,2%";"--";"14,55%";"0,4%"
"Barro Preto";"BA";"5312";"Em elaboração";"--";"--";"--";"--"
"Barrocas";"BA";"16225";"Em elaboração";"0,03%";"--";"31,57%";"--"
"Barrolândia";"TO";"5669";"Não";"11,87%";"--";"20,62%";"Não há"
"Barroquinha";"CE";"15069";"Sim";"52,35%";"90,52%";"32,51%";"Não há"
"Barros Cassal";"RS";"11167";"Sim";"68,28%";"--";"68,28%";"--"
"Barroso";"MG";"20981";"Sim";"16,82%";"3,92%";"3,55%";"35%"
"Barueri";"SP";"279704";"Sim";"Atendimento Pleno";"Atendimento Pleno";"Atendimento Pleno";"0,2%"
"Bastos";"SP";"20952";"Não";"9,2%";"9,42%";"15,88%";"Não há"
"Bataguassu";"MS";"23620";"Sim";"23,95%";"70,07%";"23,19%";"Não há"
"Batalha";"AL";"18440";"Em elaboração";"41,6%";"59,61%";"18,66%";"Não há"
"Batalha";"PI";"26951";"Em elaboração";"52,6%";"--";"--";"4,2%"
"Batatais";"SP";"63438";"Não";"11,56%";"11,81%";"4,61%";"Não há"
"Batayporã";"MS";"11368";"Sim";"24,58%";"36,27%";"23,82%";"4,6%"
"Baturité";"CE";"36127";"Em elaboração";"44,65%";"98,33%";"16,96%";"1,5%"
"Bauru";"SP";"381706";"Sim";"Atendimento Pleno";"Atendimento Pleno";"Atendimento Pleno";"Não há"
"Bayeux";"PB";"97519";"Não";"21,78%";"92,22%";"--";"--"
"Bebedouro";"SP";"77612";"Sim";"Atendimento Pleno";"0,07%";"4,71%";"2,7%"
"Beberibe";"CE";"54315";"Sim";"86,56%";"92,54%";"35,09%";"Não há"
"Bela Cruz";"CE";"32851";"Em elaboração";"76,01%";"83,71%";"39,12%";"Não há"
"Bela Vista";"MS";"24842";"Em elaboração";"8,06%";"74,68%";"15,47%";"0,6%"
"Bela Vista da Caroba";"PR";"3404";"Sim";"36,66%";"--";"41,25%";"Não há"
"Bela Vista de Goiás";"GO";"31004";"Não";"28,98%";"50,84%";"5,5%";"0,8%"
"Bela Vista de Minas";"MG";"10269";"Sim";"22,83%";"6,32%";"2,07%";"0,8%"
"Bela Vista do Maranhão";"MA";"11347";"Não";"--";"--";"--";"--"
"Bela Vista do Paraíso";"PR";"15400";"Sim";"0,01%";"51,42%";"6,17%";"Não há"
"Bela Vista do Piauí";"PI";"4044";"Não";"67,09%";"--";"38,18%";"Não há"
"Bela Vista do Toldo";"SC";"6386";"Sim";"76,92%";"--";"85,94%";"2,2%"
"Belágua";"MA";"7586";"Não";"--";"--";"--";"--"
"Belém";"AL";"4226";"Não";"--";"--";"--";"--"
"Belém";"PA";"1506420";"Em elaboração";"23,16%";"82,88%";"4%";"4,1%"
"Belém";"PB";"17733";"Não";"8,92%";"--";"--";"--"
"Belém de Maria";"PE";"12169";"Não";"26,03%";"--";"29,62%";"18,3%"
"Belém do Brejo do Cruz";"PB";"7356";"Não";"51,66%";"--";"26,36%";"Não há"
"Belém do Piauí";"PI";"3607";"Não";"32,16%";"--";"41,78%";"14,3%"
"Belém do São Francisco";"PE";"20730";"Em elaboração";"19,04%";"80,7%";"42,11%";"Não há"
"Belford Roxo";"RJ";"515239";"Sim";"Atendimento Pleno";"56,61%";"30%";"33,9%"
"Belmiro Braga";"MG";"3422";"Sim";"74,2%";"67,71%";"35,71%";"5%"
"Belmonte";"BA";"23540";"Não";"28,88%";"43,8%";"--";"--"
"Belmonte";"SC";"2712";"Sim";"40,74%";"--";"51,7%";"Não há"
"Belo Campo";"BA";"17013";"Sim";"43,64%";"--";"48,69%";"0,4%"
"Belo Horizonte";"MG";"2530701";"Sim";"5,05%";"6,02%";"4%";"2%"
"Belo Jardim";"PE";"76930";"Em elaboração";"Atendimento Pleno";"--";"20%";"0,6%"
"Belo Monte";"AL";"6717";"Sim";"73,9%";"--";"52,36%";"18,6%"
"Belo Oriente";"MG";"27277";"Sim";"28,06%";"14,89%";"9,55%";"7,1%"
"Belo Vale";"MG";"7723";"Sim";"56,45%";"0,09%";"29,95%";"--"
"Belterra";"PA";"17944";"Não";"32%";"--";"35,77%";"Não há"
"Beneditinos";"PI";"10479";"Sim";"35,29%";"--";"23,66%";"Não há"
"Benedito Leite";"MA";"5643";"Não";"60,66%";"--";"9,62%";"12,4%"
"Benedito Novo";"SC";"11896";"Sim";"57,57%";"--";"1%";"9,5%"
"Benevides";"PA";"64780";"Não";"21,22%";"--";"Atendimento Pleno";"Não há"
"Benjamin Constant";"AM";"44873";"Não";"53,33%";"--";"46,52%";"15,8%"
"Benjamin Constant do Sul";"RS";"1924";"Sim";"--";"--";"--";"Não há"
"Bento de Abreu";"SP";"3028";"Sim";"6,9%";"7,3%";"8,59%";"0,6%"
"Bento Fernandes";"RN";"5552";"Não";"19,22%";"--";"30,75%";"--"
"Bento Gonçalves";"RS";"123090";"Sim";"7,65%";"99,43%";"1%";"Não há"
"Bequimão";"MA";"21317";"Em elaboração";"--";"--";"76,54%";"Não há"
"Berilo";"MG";"11813";"Não";"62,36%";"79,62%";"40,74%";"2,3%"
"Berizal";"MG";"4792";"Não";"43,99%";"--";"43,13%";"1,3%"
"Bernardino Batista";"PB";"3571";"Não";"Sem Atendimento";"--";"72,11%";"Não há"
"Bernardino de Campos";"SP";"11168";"Não";"4,31%";"5,45%";"Atendimento Pleno";"Não há"
"Bernardo do Mearim";"MA";"6102";"Em elaboração";"71,08%";"--";"--";"--"
"Bernardo Sayão";"TO";"4439";"Não";"19,53%";"--";"--";"--"
"Bertioga";"SP";"66154";"Em elaboração";"11,7%";"40,9%";"1,63%";"3,7%"
"Bertolínia";"PI";"5512";"Não";"10,41%";"--";"26,8%";"Não há"
"Bertópolis";"MG";"4609";"Em elaboração";"41,92%";"47,06%";"34,91%";"2,9%"
"Beruri";"AM";"20503";"Sim";"48,79%";"--";"60,98%";"Não há"
"Betânia";"PE";"12811";"Não";"47,3%";"--";"69,07%";"Não há"
"Betânia do Piauí";"PI";"6214";"Em elaboração";"--";"--";"--";"--"
"Betim";"MG";"450024";"Em elaboração";"11,55%";"21,89%";"1,12%";"Não há"
"Bezerros";"PE";"60960";"Não";"5,26%";"--";"Atendimento Pleno";"3,6%"
